Opening: params_1024.dat
0
1
1
0.29449234078335689067
-0.016335565476402559131
6.6461593173361421805E-17
6.6383666142214026173E-17
1200
1200
70000
afile_1024.bmp
rank = 11, total = 449619
rank = 17, total = 451062
rank = 13, total = 451473
rank = 5, total = 451862
rank = 23, total = 451879
rank = 3, total = 450284
rank = 7, total = 452050
rank = 6, total = 451353
rank = 9, total = 450214
rank = 10, total = 449408
rank = 15, total = 451863
rank = 12, total = 450245
rank = 14, total = 454009
rank = 29, total = 454004
rank = 19, total = 451944
rank = 18, total = 454778
rank = 20, total = 454949
rank = 21, total = 452406
rank = 22, total = 451731
rank = 35, total = 454989
rank = 41, total = 453386
rank = 25, total = 451939
rank = 1, total = 456167
rank = 4, total = 451934
rank = 2, total = 451884
rank = 8, total = 452731
rank = 111, total = 453905
rank = 27, total = 453102
rank = 26, total = 456398
rank = 43, total = 457112
rank = 42, total = 454996
rank = 37, total = 457480
rank = 31, total = 455230
rank = 30, total = 457613
rank = 16, total = 450207
rank = 943, total = 458101
rank = 47, total = 457333
rank = 1017, total = 456433
rank = 24, total = 455671
rank = 28, total = 454221
rank = 39, total = 450684
rank = 38, total = 458868
rank = 931, total = 459217
rank = 33, total = 452795
rank = 925, total = 458632
rank = 34, total = 455249
rank = 937, total = 459398
rank = 36, total = 455638
rank = 1023, total = 458751
rank = 949, total = 459627
rank = 955, total = 460013
rank = 109, total = 459662
rank = 1001, total = 459860
rank = 110, total = 456445
rank = 971, total = 456348
rank = 113, total = 460166
rank = 989, total = 459724
rank = 105, total = 455164
rank = 995, total = 460357
rank = 45, total = 455951
rank = 93, total = 454015
rank = 46, total = 458133
rank = 99, total = 456008
rank = 44, total = 460565
rank = 85, total = 460259
rank = 929, total = 461157
rank = 40, total = 455394
rank = 930, total = 458310
rank = 95, total = 461338
rank = 1021, total = 461391
rank = 107, total = 461505
rank = 1007, total = 461348
rank = 94, total = 459943
rank = 1018, total = 456161
rank = 106, total = 460625
rank = 965, total = 458109
rank = 83, total = 461477
rank = 1022, total = 459528
rank = 108, total = 460027
rank = 1020, total = 458883
rank = 101, total = 461918
rank = 983, total = 459311
rank = 103, total = 461148
rank = 1013, total = 461591
rank = 97, total = 461894
rank = 1019, total = 461402
rank = 100, total = 460938
rank = 977, total = 458149
rank = 104, total = 460427
rank = 1014, total = 459647
rank = 98, total = 460762
rank = 927, total = 462370
rank = 102, total = 462032
rank = 1015, total = 462057
rank = 115, total = 461746
rank = 926, total = 460701
rank = 114, total = 462850
rank = 953, total = 457903
rank = 954, total = 457962
rank = 961, total = 463101
rank = 997, total = 463082
rank = 947, total = 457961
rank = 941, total = 456910
rank = 973, total = 463365
rank = 939, total = 463456
rank = 966, total = 458814
rank = 938, total = 460912
rank = 967, total = 463442
rank = 923, total = 463942
rank = 940, total = 463397
rank = 81, total = 457509
rank = 942, total = 455493
rank = 82, total = 457974
rank = 932, total = 460605
rank = 91, total = 462674
rank = 1011, total = 459650
rank = 89, total = 464956
rank = 935, total = 458964
rank = 92, total = 460743
rank = 933, total = 463931
rank = 90, total = 464736
rank = 934, total = 463975
rank = 936, total = 456180
rank = 919, total = 460866
rank = 117, total = 461898
rank = 951, total = 464122
rank = 87, total = 454977
rank = 950, total = 464806
rank = 84, total = 461073
rank = 921, total = 465200
rank = 88, total = 459918
rank = 924, total = 459290
rank = 86, total = 465750
rank = 922, total = 463841
rank = 67, total = 465789
rank = 51, total = 465171
rank = 69, total = 466025
rank = 959, total = 461291
rank = 985, total = 465458
rank = 65, total = 466593
rank = 1003, total = 465478
rank = 66, total = 465959
rank = 1002, total = 463504
rank = 75, total = 466716
rank = 49, total = 465636
rank = 50, total = 462914
rank = 123, total = 466852
rank = 969, total = 464282
rank = 970, total = 460174
rank = 1009, total = 466106
rank = 1016, total = 458064
rank = 945, total = 466387
rank = 1010, total = 464019
rank = 946, total = 463307
rank = 1012, total = 457771
rank = 991, total = 466464
rank = 53, total = 466522
rank = 119, total = 468091
rank = 948, total = 457074
rank = 116, total = 465508
rank = 990, total = 463628
rank = 118, total = 466340
rank = 999, total = 463166
rank = 79, total = 464454
rank = 998, total = 468216
rank = 73, total = 467687
rank = 1006, total = 457727
rank = 74, total = 464359
rank = 1005, total = 462747
rank = 1004, total = 468269
rank = 59, total = 468584
rank = 987, total = 468516
rank = 986, total = 468848
rank = 917, total = 466405
rank = 988, total = 460222
rank = 918, total = 464883
rank = 981, total = 469618
rank = 982, total = 461959
rank = 71, total = 469785
rank = 915, total = 470033
rank = 68, total = 460568
rank = 979, total = 469960
rank = 80, total = 464730
rank = 975, total = 470086
rank = 76, total = 464385
rank = 993, total = 466940
rank = 125, total = 470156
rank = 978, total = 460877
rank = 77, total = 469856
rank = 1008, total = 465564
rank = 72, total = 468574
rank = 974, total = 466551
rank = 78, total = 468245
rank = 1000, total = 458265
rank = 70, total = 461457
rank = 980, total = 468776
rank = 63, total = 470602
rank = 972, total = 458824
rank = 994, total = 460141
rank = 984, total = 463550
rank = 957, total = 470817
rank = 962, total = 470693
rank = 996, total = 461758
rank = 976, total = 462119
rank = 958, total = 465456
rank = 968, total = 466225
rank = 209, total = 471082
rank = 992, total = 470058
rank = 956, total = 469931
rank = 121, total = 464920
rank = 963, total = 466744
rank = 122, total = 466966
