Opening: params_512.dat
0
1
1
0.29449234078335689067
-0.016335565476402559131
6.6461593173361421805E-17
6.6383666142214026173E-17
1200
1200
70000
afile_512.bmp
rank = 5, total = 898871
rank = 3, total = 903131
rank = 7, total = 905568
rank = 6, total = 901392
rank = 9, total = 905971
rank = 11, total = 903298
rank = 10, total = 907577
rank = 13, total = 909541
rank = 21, total = 910935
rank = 1, total = 901832
rank = 2, total = 903488
rank = 4, total = 902497
rank = 17, total = 909936
rank = 19, total = 910352
rank = 18, total = 911613
rank = 15, total = 912280
rank = 8, total = 900886
rank = 12, total = 906949
rank = 14, total = 907933
rank = 23, total = 915258
rank = 20, total = 908158
rank = 22, total = 917154
rank = 509, total = 917563
rank = 55, total = 911923
rank = 47, total = 919667
rank = 471, total = 913594
rank = 53, total = 920243
rank = 54, total = 918863
rank = 511, total = 918279
rank = 510, total = 920274
rank = 477, total = 917975
rank = 43, total = 920682
rank = 507, total = 921704
rank = 483, total = 922256
rank = 465, total = 917527
rank = 49, total = 917471
rank = 41, total = 918386
rank = 463, total = 923071
rank = 42, total = 921424
rank = 51, total = 923206
rank = 50, total = 920972
rank = 52, total = 916229
rank = 469, total = 924368
rank = 57, total = 924272
rank = 470, total = 920307
rank = 467, total = 922939
rank = 466, total = 924536
rank = 468, total = 915578
rank = 45, total = 927048
rank = 44, total = 923830
rank = 46, total = 915227
rank = 461, total = 927783
rank = 462, total = 917922
rank = 35, total = 927842
rank = 475, total = 928928
rank = 501, total = 928982
rank = 25, total = 930099
rank = 495, total = 930092
rank = 485, total = 916522
rank = 473, total = 921268
rank = 474, total = 916701
rank = 489, total = 930837
rank = 503, total = 919075
rank = 502, total = 931016
rank = 499, total = 931382
rank = 505, total = 923669
rank = 508, total = 914497
rank = 506, total = 919362
rank = 33, total = 932198
rank = 34, total = 927286
rank = 39, total = 933000
rank = 59, total = 933982
rank = 58, total = 927216
rank = 459, total = 925749
rank = 487, total = 936637
rank = 486, total = 922189
rank = 481, total = 937437
rank = 494, total = 919946
rank = 493, total = 937364
rank = 37, total = 932667
rank = 482, total = 919765
rank = 36, total = 937019
rank = 497, total = 920498
rank = 38, total = 932220
rank = 484, total = 930507
rank = 40, total = 922968
rank = 504, total = 931670
rank = 61, total = 931752
rank = 498, total = 924840
rank = 500, total = 918125
rank = 491, total = 921270
rank = 488, total = 920268
rank = 496, total = 936998
rank = 492, total = 929008
rank = 490, total = 938394
rank = 29, total = 932588
rank = 479, total = 926747
rank = 457, total = 937652
rank = 478, total = 940748
rank = 460, total = 927281
rank = 472, total = 930943
rank = 458, total = 935505
rank = 476, total = 920942
rank = 31, total = 936507
rank = 30, total = 942159
rank = 455, total = 944677
rank = 27, total = 945052
rank = 26, total = 929741
rank = 24, total = 922649
rank = 28, total = 939024
rank = 16, total = 911805
rank = 453, total = 945674
rank = 454, total = 940258
rank = 81, total = 940955
rank = 113, total = 941074
rank = 111, total = 949442
rank = 105, total = 949347
rank = 63, total = 950626
rank = 60, total = 937986
rank = 62, total = 939027
rank = 56, total = 917966
rank = 48, total = 922677
rank = 451, total = 946767
rank = 65, total = 951053
rank = 32, total = 927120
rank = 83, total = 951461
rank = 82, total = 948253
rank = 119, total = 943979
rank = 107, total = 943767
rank = 106, total = 952480
rank = 110, total = 941976
rank = 109, total = 949186
rank = 108, total = 952044
rank = 125, total = 949970
rank = 99, total = 954627
rank = 115, total = 949454
rank = 114, total = 954654
rank = 73, total = 953782
rank = 117, total = 956950
rank = 79, total = 956775
rank = 116, total = 939366
rank = 103, total = 957183
rank = 449, total = 956682
rank = 118, total = 951977
rank = 464, total = 922794
rank = 67, total = 956403
rank = 450, total = 951195
rank = 66, total = 956769
rank = 480, total = 924622
rank = 452, total = 947578
rank = 101, total = 943313
rank = 456, total = 940962
rank = 102, total = 953619
rank = 87, total = 956801
rank = 75, total = 951833
rank = 74, total = 958808
rank = 93, total = 958107
rank = 85, total = 960555
rank = 86, total = 958239
rank = 84, total = 950088
rank = 77, total = 962796
rank = 78, total = 953926
rank = 76, total = 957359
rank = 97, total = 962981
rank = 98, total = 947587
rank = 100, total = 957373
rank = 71, total = 963302
rank = 447, total = 955439
rank = 104, total = 940713
rank = 407, total = 963179
rank = 89, total = 960449
rank = 69, total = 963404
rank = 121, total = 955193
rank = 70, total = 961841
rank = 91, total = 966578
rank = 72, total = 955927
rank = 90, total = 958542
rank = 68, total = 966143
rank = 387, total = 967571
rank = 123, total = 967767
rank = 122, total = 946529
rank = 393, total = 968345
rank = 405, total = 969009
rank = 406, total = 964295
rank = 95, total = 954676
rank = 92, total = 958573
rank = 94, total = 969934
rank = 88, total = 965438
rank = 80, total = 949111
rank = 445, total = 960525
rank = 446, total = 963401
rank = 395, total = 958834
rank = 394, total = 971288
rank = 443, total = 971567
rank = 391, total = 972208
rank = 127, total = 959019
rank = 126, total = 972100
rank = 120, total = 966493
rank = 124, total = 954065
rank = 112, total = 949195
rank = 96, total = 962340
rank = 131, total = 972861
rank = 64, total = 945644
rank = 381, total = 971554
rank = 419, total = 974088
rank = 401, total = 968871
rank = 399, total = 974711
rank = 129, total = 975443
rank = 130, total = 968763
rank = 439, total = 974296
rank = 397, total = 976029
rank = 396, total = 972962
rank = 441, total = 966652
rank = 398, total = 964488
rank = 442, total = 963754
rank = 444, total = 970412
rank = 403, total = 968573
rank = 402, total = 976959
rank = 404, total = 959052
rank = 389, total = 959284
rank = 390, total = 964844
rank = 409, total = 975076
rank = 425, total = 980475
rank = 421, total = 970585
rank = 383, total = 969128
rank = 382, total = 982324
rank = 379, total = 982647
rank = 385, total = 982095
rank = 392, total = 956293
rank = 386, total = 965878
rank = 417, total = 982056
rank = 388, total = 979008
rank = 418, total = 968082
rank = 133, total = 979328
rank = 413, total = 985387
rank = 423, total = 985678
rank = 420, total = 981820
rank = 422, total = 982014
rank = 435, total = 984691
rank = 437, total = 987725
rank = 438, total = 976442
rank = 427, total = 979251
rank = 426, total = 988577
rank = 173, total = 988803
rank = 411, total = 989205
rank = 410, total = 975462
rank = 171, total = 976321
rank = 415, total = 977576
rank = 408, total = 978425
rank = 412, total = 985471
rank = 400, total = 975217
rank = 414, total = 990183
rank = 169, total = 991378
rank = 170, total = 990076
rank = 433, total = 984968
rank = 434, total = 986173
rank = 137, total = 992642
rank = 436, total = 976768
